alpha_ij_pow at 0x5556291218d8, 2700 bytes, 43 lines
Starting 100 Flush+Reload measurements...

Line | Hits | Hit rate
-----+------+--------
   0 |   99 |  99.0%
   1 |  100 | 100.0%
   2 |  100 | 100.0%
   3 |  100 | 100.0%
   4 |  100 | 100.0%
   5 |  100 | 100.0%
   6 |  100 | 100.0%
   7 |  100 | 100.0%
   8 |   99 |  99.0%
   9 |  100 | 100.0%
  10 |  100 | 100.0%
  11 |  100 | 100.0%
  12 |  100 | 100.0%
  13 |  100 | 100.0%
  14 |   97 |  97.0%
  15 |  100 | 100.0%
  16 |  100 | 100.0%
  17 |  100 | 100.0%
  18 |  100 | 100.0%
  19 |  100 | 100.0%
  20 |   99 |  99.0%
  21 |  100 | 100.0%
  22 |  100 | 100.0%
  23 |  100 | 100.0%
  24 |  100 | 100.0%
  25 |  100 | 100.0%
  26 |   99 |  99.0%
  27 |  100 | 100.0%
  28 |  100 | 100.0%
  29 |   99 |  99.0%
  30 |   98 |  98.0%
  31 |  100 | 100.0%
  32 |  100 | 100.0%
  33 |  100 | 100.0%
  34 |  100 | 100.0%
  35 |  100 | 100.0%
  36 |  100 | 100.0%
  37 |   99 |  99.0%
  38 |  100 | 100.0%
  39 |  100 | 100.0%
  40 |   99 |  99.0%
  41 |  100 | 100.0%
  42 |   99 |  99.0%

Sink: 0
