compiler,opt,binary_bytes,total_instructions,cond_branches,branch_list
gcc-12,O0,0,47,0,"b.ls:2;b.plast:2"
gcc-12,O1,0,21,2,"b.any:1;b.eq:1;b.ne:1;b.none:1"
gcc-12,O2,0,20,2,"b.any:2;b.ne:2"
gcc-12,O3,0,365,3,"b.any:1;b.cc:1;b.last:1;b.lo:1;b.ne:1;b.ul:1;cbnz:1"
gcc-12,Os,0,17,2,"b.any:2;b.ne:2"
clang-14,O0,0,46,2,"b.cs:2;b.hs:2;b.nlast:2"
clang-14,O1,0,17,2,"b.any:2;b.ne:2"
clang-14,O2,0,240,2,"b.any:2;b.ls:2;b.ne:2;b.plast:2"
clang-14,O3,0,240,2,"b.any:2;b.ls:2;b.ne:2;b.plast:2"
clang-14,Os,0,17,2,"b.any:2;b.ne:2"
clang-15,O0,0,48,2,"tbnz:2"
clang-15,O1,0,16,2,"b.any:2;b.ne:2"
clang-15,O2,0,581,1,"b.any:1;b.ls:2;b.ne:1;b.plast:2"
clang-15,O3,0,579,1,"b.any:1;b.ls:2;b.ne:1;b.plast:2"
clang-15,Os,0,16,2,"b.any:2;b.ne:2"
clang-16,O0,0,48,2,"tbnz:2"
clang-16,O1,0,16,2,"b.any:2;b.ne:2"
clang-16,O2,0,581,1,"b.any:1;b.ls:2;b.ne:1;b.plast:2"
clang-16,O3,0,579,1,"b.any:1;b.ls:2;b.ne:1;b.plast:2"
clang-16,Os,0,16,2,"b.any:2;b.ne:2"
clang-19,O0,0,46,2,"b.cs:2;b.hs:2;b.nlast:2"
clang-19,O1,0,16,2,"b.any:2;b.ne:2"
clang-19,O2,0,358,2,"b.any:2;b.ls:2;b.ne:2;b.plast:2"
clang-19,O3,0,594,1,"b.any:1;b.ls:2;b.ne:1;b.plast:2"
clang-19,Os,0,16,2,"b.any:2;b.ne:2"
