idx,kind,cycles
0,valid,65445
1,invalid,64506
2,valid,64303
3,invalid,64201
4,valid,64222
5,invalid,64256
6,valid,64226
7,invalid,64224
8,valid,64251
9,invalid,64239
10,valid,64194
11,invalid,64231
12,valid,64369
13,invalid,64297
14,valid,64234
15,invalid,64236
16,valid,64591
17,invalid,64371
18,valid,64243
19,invalid,64414
20,valid,64227
21,invalid,64261
22,valid,64369
23,invalid,64457
24,valid,64188
25,invalid,64257
26,valid,64178
27,invalid,64259
28,valid,64315
29,invalid,64669
30,valid,64277
31,invalid,64175
32,valid,64278
33,invalid,64218
34,valid,64197
35,invalid,64261
36,valid,64237
37,invalid,64242
38,valid,64225
39,invalid,64208
40,valid,64258
41,invalid,64249
42,valid,64416
43,invalid,64242
44,valid,64286
45,invalid,64807
46,valid,66513
47,invalid,64296
48,valid,65000
49,invalid,64202
50,valid,65175
51,invalid,64242
52,valid,64313
53,invalid,64356
54,valid,64324
55,invalid,64265
56,valid,64307
57,invalid,64302
58,valid,66687
59,invalid,64497
60,valid,64207
61,invalid,64263
62,valid,64309
63,invalid,64268
64,valid,64252
65,invalid,64286
66,valid,64260
67,invalid,64316
68,valid,64275
69,invalid,64204
70,valid,64311
71,invalid,64275
72,valid,64235
73,invalid,64275
74,valid,64233
75,invalid,64198
76,valid,64238
77,invalid,64296
78,valid,64213
79,invalid,64357
80,valid,64282
81,invalid,64283
82,valid,64252
83,invalid,64342
84,valid,64223
85,invalid,64341
86,valid,64450
87,invalid,64281
88,valid,64318
89,invalid,64342
90,valid,64266
91,invalid,64365
92,valid,64255
93,invalid,64278
94,valid,64257
95,invalid,64378
96,valid,64329
97,invalid,64283
98,valid,64301
99,invalid,64367
100,valid,64289
101,invalid,64300
102,valid,64221
103,invalid,64341
104,valid,64242
105,invalid,64307
106,valid,64259
107,invalid,64290
108,valid,64248
109,invalid,64333
110,valid,64261
111,invalid,64280
112,valid,64236
113,invalid,64260
114,valid,64268
115,invalid,64283
116,valid,64257
117,invalid,64220
118,valid,64297
119,invalid,64283
120,valid,64444
121,invalid,64211
122,valid,64259
123,invalid,64265
124,valid,64247
125,invalid,64439
126,valid,64305
127,invalid,64334
128,valid,64323
129,invalid,64337
130,valid,66638
131,invalid,64280
132,valid,64372
133,invalid,64269
134,valid,64289
135,invalid,64294
136,valid,64301
137,invalid,64359
138,valid,64240
139,invalid,64335
140,valid,64265
