round_idx,kind,cycles
0,invalid,70846
1,valid,60104
2,valid,60749
3,valid,60776
4,valid,60667
5,valid,60654
6,valid,59999
7,invalid,59700
8,valid,60096
9,invalid,59733
10,invalid,59737
11,valid,60656
12,valid,59783
13,invalid,59815
14,invalid,60579
15,invalid,59749
16,valid,60632
17,invalid,63778
18,invalid,59741
19,valid,59731
20,invalid,60400
21,invalid,60661
22,valid,60021
23,valid,60879
24,invalid,60645
25,valid,60140
26,valid,60644
27,valid,60681
28,valid,59711
29,valid,61336
30,valid,59793
31,invalid,59734
32,invalid,61311
33,valid,60689
34,valid,59998
35,valid,60096
36,invalid,59707
37,valid,60667
38,valid,59975
39,invalid,59623
40,valid,59946
41,valid,60672
42,invalid,59907
43,valid,59812
44,valid,62829
45,invalid,60688
46,invalid,60606
47,invalid,59764
48,invalid,59485
49,valid,60632
50,invalid,59683
51,valid,60002
52,valid,59821
53,invalid,60713
54,invalid,59699
55,valid,60674
56,valid,59756
57,invalid,59795
58,invalid,59470
59,invalid,59768
60,valid,60655
61,valid,59726
62,invalid,59683
63,valid,59906
64,valid,60024
65,invalid,60001
66,valid,60041
67,invalid,60979
68,valid,60617
69,invalid,59767
70,invalid,59925
71,invalid,60475
72,invalid,59909
73,valid,59783
74,valid,59763
75,invalid,59764
76,invalid,59735
77,invalid,59747
78,invalid,59778
79,valid,59763
80,invalid,61034
81,invalid,59442
82,valid,60001
83,invalid,64082
84,invalid,63183
85,valid,60006
86,invalid,59706
87,valid,60007
88,valid,59751
89,invalid,60000
90,valid,59774
91,valid,59559
92,valid,60436
93,valid,60019
94,invalid,60004
95,valid,60647
96,invalid,59484
97,invalid,59708
98,valid,59765
99,valid,60713
100,valid,59780
101,invalid,60956
102,invalid,59879
103,invalid,59966
104,invalid,59970
105,invalid,59709
106,valid,59712
107,valid,60658
108,invalid,59589
109,valid,59792
110,valid,60496
111,invalid,60823
112,invalid,60002
113,valid,63450
114,valid,59749
115,invalid,59799
116,valid,59850
117,invalid,59749
118,invalid,61092
119,valid,59978
120,invalid,59854
121,valid,60674
122,invalid,59784
123,valid,59773
124,valid,60020
125,invalid,59742
126,invalid,60051
127,invalid,59899
128,invalid,59801
129,valid,60640
130,invalid,60148
131,invalid,59777
132,invalid,59500
133,invalid,60724
134,invalid,60322
135,invalid,59828
136,invalid,59792
137,invalid,60362
138,invalid,59735
139,valid,59817
140,invalid,59895
141,valid,62747
142,invalid,59815
143,valid,59750
144,valid,59918
145,invalid,59782
146,valid,59822
147,invalid,59747
148,valid,59862
149,invalid,59801
150,valid,59802
151,valid,59747
152,invalid,59628
153,valid,60027
154,valid,60710
155,invalid,59793
156,invalid,59852
157,valid,59793
158,invalid,59777
159,valid,59806
160,invalid,59774
161,valid,60696
162,valid,59756
163,valid,60641
164,invalid,59863
165,invalid,59813
166,invalid,59582
167,invalid,59875
168,invalid,60757
169,invalid,59781
170,invalid,59844
171,invalid,59783
172,invalid,59757
173,invalid,59805
174,valid,59816
175,invalid,59620
176,valid,59819
177,valid,60743
178,invalid,59777
179,invalid,59685
180,invalid,60916
181,valid,60341
182,valid,59795
183,valid,59856
184,invalid,59701
185,valid,60746
186,valid,60424
187,valid,60704
188,valid,60009
189,valid,59802
190,invalid,59925
191,valid,60730
192,valid,60033
193,invalid,59929
194,invalid,59862
195,invalid,59646
196,invalid,60709
197,valid,59891
198,valid,60675
199,invalid,59510
200,valid,60221
201,invalid,60808
202,valid,59765
203,valid,59756
204,invalid,60751
205,invalid,59838
206,invalid,59781
207,invalid,59555
208,valid,59834
209,valid,59863
210,valid,61687
211,valid,60036
212,valid,61857
213,invalid,60030
214,invalid,60743
215,valid,60009
216,invalid,59817
217,invalid,59728
218,valid,59646
219,invalid,59739
220,invalid,59585
221,valid,60110
222,valid,59845
223,invalid,59623
224,valid,59787
225,valid,59794
226,invalid,59770
227,valid,60324
228,invalid,59870
229,valid,59752
230,valid,59876
231,invalid,60060
232,valid,59764
233,valid,59856
234,invalid,59786
235,invalid,59670
236,invalid,60051
237,invalid,59789
238,invalid,59837
239,valid,59816
240,invalid,60070
241,valid,59849
242,valid,60068
243,valid,60764
244,valid,59922
245,valid,59785
246,invalid,65983
247,valid,59839
248,invalid,59779
249,invalid,59772
250,valid,59788
251,invalid,59776
252,invalid,59801
253,invalid,60069
254,invalid,59745
255,invalid,60846
256,invalid,59839
257,valid,59738
258,valid,60403
259,invalid,59828
260,invalid,59745
261,valid,59800
262,valid,59783
263,valid,60214
264,valid,59802
265,invalid,59649
266,invalid,59853
267,valid,59996
268,invalid,59536
269,valid,59778
270,invalid,59823
271,invalid,59810
272,invalid,59487
273,invalid,59738
274,valid,59721
275,invalid,59767
276,valid,59840
277,invalid,60429
278,invalid,59976
279,invalid,59479
280,invalid,60047
281,invalid,60678
282,valid,59754
283,invalid,59711
284,valid,59858
285,invalid,59829
286,valid,59897
287,valid,60640
288,invalid,59778
289,valid,59716
290,invalid,60436
291,invalid,59786
292,invalid,59705
293,invalid,59817
294,invalid,59908
295,valid,63329
296,valid,60376
297,valid,60678
298,invalid,59850
299,invalid,59778
300,invalid,61517
301,invalid,60704
302,valid,60102
303,valid,59747
304,invalid,59738
305,invalid,60646
306,invalid,60720
307,invalid,59561
308,valid,59861
309,valid,59831
310,valid,59792
311,valid,59802
312,valid,60975
313,valid,59712
314,valid,59805
315,valid,60615
316,invalid,59717
317,valid,59835
318,invalid,59749
319,invalid,59747
320,valid,60023
321,valid,59837
322,invalid,59821
323,valid,59786
324,valid,59993
325,valid,61552
326,invalid,59796
327,invalid,59776
328,invalid,59805
329,invalid,59882
330,invalid,61768
331,valid,60909
332,invalid,59976
333,invalid,59547
334,invalid,59736
335,valid,63454
336,invalid,60970
337,invalid,60246
338,valid,59734
339,valid,60578
340,invalid,60451
341,valid,59783
342,invalid,59787
343,valid,59809
344,valid,59931
345,invalid,59824
346,invalid,59815
347,invalid,59556
348,invalid,59787
349,valid,59793
350,invalid,60384
351,invalid,59513
352,valid,59805
353,invalid,60187
354,invalid,63600
355,invalid,59809
356,invalid,60988
357,valid,59781
358,invalid,59819
359,invalid,60182
360,valid,59758
361,valid,59727
362,invalid,59772
363,invalid,60753
364,valid,59828
365,invalid,59724
366,invalid,59758
367,invalid,59734
368,valid,59792
369,invalid,60220
370,invalid,59511
371,valid,59759
372,invalid,59744
373,valid,59806
374,invalid,59979
375,invalid,59462
376,valid,60261
377,invalid,60659
378,valid,60027
379,valid,59891
380,invalid,59743
381,invalid,59760
382,invalid,62179
383,invalid,59804
384,invalid,59664
385,invalid,59740
386,valid,59834
387,valid,59735
388,valid,59779
389,invalid,59800
390,invalid,59788
391,valid,59756
392,valid,60710
393,valid,59760
394,invalid,59748
395,invalid,59755
396,valid,59769
397,valid,60709
398,valid,59802
399,valid,59733
400,valid,59831
401,invalid,59738
402,valid,60588
403,invalid,59913
404,invalid,59788
405,valid,60220
406,invalid,59781
407,valid,59768
408,invalid,59808
409,valid,59776
410,invalid,59828
411,valid,59797
412,invalid,59834
413,valid,60077
414,valid,59791
415,valid,60091
416,invalid,60359
417,invalid,60405
418,valid,59853
419,valid,59793
420,valid,59762
421,valid,59818
422,invalid,59662
423,valid,59790
424,invalid,60955
425,invalid,59760
426,invalid,59746
427,invalid,59804
428,valid,60691
429,invalid,59879
430,invalid,60547
431,valid,59803
432,valid,59733
433,invalid,59765
434,valid,59730
435,invalid,59703
436,valid,59784
437,valid,59736
438,valid,59790
439,valid,59743
440,valid,61485
441,valid,59843
442,invalid,59524
443,valid,59708
444,valid,59818
445,invalid,59739
446,invalid,59656
447,invalid,59814
448,valid,59821
449,valid,59789
450,valid,60387
451,invalid,59770
452,valid,59894
453,valid,59801
454,invalid,59750
455,valid,59777
456,valid,59867
457,valid,59757
458,invalid,59794
459,invalid,59795
460,valid,59729
461,valid,59764
462,valid,59744
463,invalid,60334
464,invalid,61485
465,invalid,59494
466,valid,59782
467,valid,59817
468,valid,59788
469,valid,59763
470,invalid,60518
471,valid,59741
472,valid,59860
473,invalid,59776
474,valid,59734
475,invalid,60884
476,valid,62118
477,invalid,59815
478,valid,59807
479,valid,59856
480,invalid,59743
481,valid,59752
482,valid,59767
483,invalid,59825
484,invalid,59798
485,invalid,59740
486,invalid,60254
487,invalid,63194
488,valid,60079
489,valid,60164
490,invalid,59565
491,invalid,59590
492,invalid,59836
493,valid,59780
494,valid,59805
495,invalid,59793
496,invalid,60925
497,valid,60138
498,valid,60092
499,invalid,59783
500,valid,59877
501,invalid,59773
502,valid,59849
503,valid,60690
504,invalid,59746
505,valid,61017
506,invalid,59715
507,invalid,60790
508,valid,59808
509,valid,59815
510,invalid,60316
511,invalid,59722
512,invalid,60397
513,valid,59765
514,invalid,59760
515,invalid,59651
516,invalid,59764
517,invalid,59728
518,invalid,59774
519,invalid,59979
520,valid,59756
521,invalid,59940
522,invalid,60479
523,valid,59789
524,valid,59802
525,invalid,59793
526,invalid,59682
527,valid,59703
528,valid,59770
529,valid,60143
530,valid,59881
531,invalid,59744
532,valid,60584
533,valid,59780
534,valid,59775
535,valid,60713
536,valid,60077
537,invalid,59771
538,valid,59839
539,valid,59792
540,invalid,59741
541,invalid,59878
542,valid,60939
543,invalid,59862
544,invalid,59829
545,valid,60583
546,invalid,59785
547,invalid,59794
548,valid,59927
549,valid,59762
550,valid,59815
551,valid,59744
552,valid,59817
553,valid,59762
554,valid,59774
555,valid,60576
556,valid,59754
557,invalid,59763
558,invalid,59883
559,invalid,59768
560,invalid,59732
561,invalid,59743
562,valid,59469
563,invalid,59802
564,invalid,59761
565,invalid,59756
566,invalid,59922
567,invalid,59876
568,invalid,59847
569,valid,59766
570,valid,60602
571,invalid,59917
572,valid,59844
573,invalid,59724
574,valid,60914
575,valid,59729
576,invalid,59786
577,valid,60163
578,invalid,59750
579,invalid,59736
580,valid,59812
581,invalid,59770
582,valid,59749
583,valid,59710
584,invalid,60763
585,valid,59766
586,invalid,59786
587,valid,60243
588,valid,59758
589,invalid,59769
590,invalid,59853
591,valid,59828
592,valid,59799
593,valid,59832
594,invalid,59890
595,invalid,59772
596,invalid,59883
597,invalid,60323
598,invalid,59833
599,invalid,59748
600,invalid,59772
601,valid,59750
602,invalid,59760
603,invalid,59511
604,invalid,60303
605,invalid,59545
606,invalid,60743
607,invalid,60383
608,valid,59761
609,valid,59807
610,invalid,59788
611,valid,59770
612,valid,59732
613,invalid,59757
614,valid,59823
615,invalid,60648
616,invalid,59779
617,valid,60734
618,invalid,59825
619,invalid,59735
620,valid,60227
621,invalid,59772
622,valid,59869
623,valid,59751
624,valid,59743
625,invalid,59767
626,valid,59860
627,invalid,60159
628,valid,59653
629,valid,59785
630,invalid,60534
631,valid,59773
632,invalid,59541
633,invalid,59737
634,invalid,59665
635,valid,59774
636,valid,59844
637,valid,60534
638,invalid,59763
639,valid,59764
640,invalid,61920
641,valid,60181
642,valid,59737
643,valid,60210
644,valid,59744
645,valid,59811
646,invalid,59778
647,valid,59727
648,invalid,59738
649,valid,59760
650,valid,60061
651,valid,59977
652,invalid,59814
653,valid,60459
654,invalid,61498
655,valid,60134
656,valid,60855
657,valid,59773
658,valid,59847
659,invalid,60486
660,invalid,59815
661,invalid,59578
662,valid,59835
663,valid,59762
664,invalid,59720
665,invalid,59778
666,valid,60146
667,valid,59493
668,valid,59789
669,invalid,59481
670,valid,59724
671,valid,59743
672,invalid,59758
673,invalid,59782
674,invalid,59820
675,invalid,59526
676,invalid,59762
677,valid,59775
678,invalid,59504
679,invalid,59748
680,invalid,59629
681,valid,61355
682,valid,59744
683,invalid,59974
684,valid,59789
685,invalid,59755
686,invalid,59809
687,invalid,59756
688,invalid,59785
689,invalid,59749
690,valid,59749
691,invalid,59761
692,valid,59798
693,invalid,59500
694,valid,59780
695,invalid,59725
696,valid,59757
697,valid,59753
698,invalid,59789
699,valid,60023
700,valid,59780
701,valid,59762
702,invalid,59754
703,valid,59768
704,invalid,59744
705,invalid,59697
706,invalid,59829
707,invalid,59656
708,invalid,59873
709,valid,59796
710,valid,59565
711,invalid,59745
712,valid,59780
713,valid,59866
714,invalid,59800
715,invalid,59858
716,valid,59781
717,valid,59774
718,valid,59876
719,invalid,59793
720,invalid,60637
721,valid,59789
722,valid,59767
723,invalid,59715
724,invalid,60167
