group,t_ns,freq_khz
zeros,5058463,2400000
zeros,10113907,2400000
zeros,15168148,2400000
zeros,20222796,2400000
zeros,25279444,2400000
zeros,30331222,2400000
zeros,35383833,2400000
zeros,40438037,2400000
zeros,45508241,2400000
zeros,50573148,2400000
zeros,55625074,2400000
zeros,60679222,2400000
zeros,65746481,2400000
zeros,70799389,2400000
zeros,75852722,2400000
zeros,80905000,2400000
zeros,85959407,2400000
zeros,91014148,2400000
zeros,96068185,2400000
zeros,101118926,2400000
zeros,106174500,2400000
zeros,111196870,2400000
zeros,116250703,2400000
zeros,121305740,2400000
zeros,126364666,2400000
zeros,131417296,2400000
zeros,136471407,2400000
zeros,141538815,2400000
zeros,146595018,2400000
zeros,151660870,2400000
zeros,156715000,2400000
zeros,161779666,2400000
zeros,166834296,2400000
zeros,171887278,2400000
zeros,176940870,2400000
zeros,181995389,2400000
zeros,187048333,2400000
zeros,192100963,2400000
zeros,197154537,2400000
zeros,202211722,2400000
ones,5091537,2400000
ones,10162852,2400000
ones,15216704,2400000
ones,20269500,2400000
ones,25325556,2400000
ones,30378871,2400000
ones,35433352,2400000
ones,40483759,2400000
ones,45538759,2400000
ones,50593167,2400000
ones,55647296,2400000
ones,60703019,2400000
ones,65758148,2400000
ones,70813222,2400000
ones,75868019,2400000
ones,80919519,2400000
ones,85978037,2400000
ones,91030056,2400000
ones,96095889,2400000
ones,101151796,2400000
ones,106209204,2400000
ones,111227222,2400000
ones,116282556,2400000
ones,121343204,2400000
ones,126399445,2400000
ones,131452945,2400000
ones,136509000,2400000
ones,141562833,2400000
ones,146617333,2400000
ones,151669278,2400000
ones,156724963,2400000
ones,161777463,2400000
ones,166832741,2400000
ones,171887445,2400000
ones,176940907,2400000
ones,181996148,2400000
ones,187049241,2400000
ones,192102296,2400000
ones,197172000,2400000
ones,202228185,2400000
