bit,poi,proba_success,stats0_mu,stats0_sigma,stats1_mu,stats1_sigma
0,342,0.746814298163785,-0.170017510652542,0.00320895970766795,-0.174293220043182,0.00322558100602051
1,314,0.713513895229585,-0.185750603675842,0.00346264374750442,-0.189728170633316,0.00359786295493785
2,286,0.718222644977641,-0.181287556886673,0.00322638523004582,-0.185015350580215,0.00322789101306855
3,258,0.711414530563932,-0.206718027591705,0.00337388796605339,-0.210492908954620,0.00339706197189436
4,230,0.731312537535875,-0.208542168140411,0.00315839914171235,-0.212474614381790,0.00321802461002351
5,202,0.718630011427851,-0.236068576574326,0.00346621598741135,-0.240122020244598,0.00353836256940359
6,174,0.752819599265087,-0.242934495210648,0.00323102022181632,-0.247362911701202,0.00324911144513521
7,146,0.761620161732332,-0.301162302494049,0.00478809073153989,-0.308159500360489,0.00505305486853401
8,570,0.729344823676383,-0.172757953405380,0.00341729565023812,-0.176971107721329,0.00348088485000158
9,538,0.704515759474247,-0.165011733770370,0.00326289027637707,-0.168573498725891,0.00336732090214102
10,510,0.730211812849163,-0.155855685472488,0.00314826303097564,-0.159751325845718,0.00320269794154123
11,482,0.703195928562330,-0.172778844833374,0.00339985334354613,-0.176400661468506,0.00338743046456744
12,458,0.751478044857552,-0.207270711660385,0.00342921869737130,-0.211965113878250,0.00348343253669083
13,426,0.699685774653616,-0.173339128494263,0.00328012498953567,-0.176830947399139,0.00339357243850791
14,398,0.728646428479048,-0.164743393659592,0.00322133632157254,-0.168671727180481,0.00323207397786231
15,370,0.711710463508149,-0.178666651248932,0.00347324619015579,-0.182524621486664,0.00343557315689530
