bit,our_poi,authors_poi,poi_match,our_proba,authors_proba,diff_proba,diff_mu0,diff_sigma0,full_match
0,342,342,True,0.7468142981637848,0.746814298163785,2.220446049250313e-16,1.1102230246251565e-16,5.204170427930421e-18,True
1,314,314,True,0.7135138952295846,0.713513895229585,3.3306690738754696e-16,2.7755575615628914e-16,2.6020852139652106e-18,True
2,286,286,True,0.718222644977641,0.718222644977641,0.0,2.7755575615628914e-17,1.3010426069826053e-18,True
3,258,258,True,0.711414530563932,0.711414530563932,0.0,3.3306690738754696e-16,8.673617379884035e-19,True
4,230,230,True,0.7313125375358753,0.731312537535875,3.3306690738754696e-16,3.885780586188048e-16,2.168404344971009e-18,True
5,202,202,True,0.7186300114278513,0.718630011427851,3.3306690738754696e-16,4.440892098500626e-16,3.903127820947816e-18,True
6,174,174,True,0.752819599265087,0.752819599265087,0.0,4.163336342344337e-16,2.168404344971009e-18,True
7,146,146,True,0.7616201617323318,0.761620161732332,2.220446049250313e-16,5.551115123125783e-17,1.734723475976807e-18,True
8,570,570,True,0.7293448236763832,0.729344823676383,2.220446049250313e-16,2.498001805406602e-16,4.336808689942018e-18,True
9,538,538,True,0.7045157594742468,0.704515759474247,2.220446049250313e-16,4.718447854656915e-16,3.469446951953614e-18,True
10,510,510,True,0.7302118128491633,0.730211812849163,2.220446049250313e-16,4.163336342344337e-16,4.336808689942018e-18,True
11,482,482,True,0.7031959285623302,0.70319592856233,1.1102230246251565e-16,2.7755575615628914e-17,2.168404344971009e-18,True
12,458,458,True,0.7514780448575518,0.751478044857552,2.220446049250313e-16,1.3877787807814457e-16,2.6020852139652106e-18,True
13,426,426,True,0.6996857746536161,0.699685774653616,1.1102230246251565e-16,3.0531133177191805e-16,1.3010426069826053e-18,True
14,398,398,True,0.7286464284790484,0.728646428479048,3.3306690738754696e-16,3.3306690738754696e-16,3.0357660829594124e-18,True
15,370,370,True,0.7117104635081495,0.711710463508149,4.440892098500626e-16,1.1102230246251565e-16,3.903127820947816e-18,True
