bit,poi,proba_success,stats0_mu,stats0_sigma,stats1_mu,stats1_sigma
0,342,0.7468142981637848,-0.17001751065254211,0.003208959707667955,-0.17429322004318237,0.0032255810060205087
1,314,0.7135138952295846,-0.18575060367584229,0.0034626437475044174,-0.18972817063331604,0.0035978629549378483
2,286,0.718222644977641,-0.18128755688667297,0.0032263852300458214,-0.18501535058021545,0.00322789101306855
3,258,0.711414530563932,-0.20671802759170532,0.003373887966053389,-0.21049290895462036,0.003397061971894356
4,230,0.7313125375358753,-0.20854216814041138,0.003158399141712352,-0.21247461438179016,0.0032180246100235056
5,202,0.7186300114278513,-0.23606857657432556,0.003466215987411354,-0.2401220202445984,0.003538362569403593
6,174,0.752819599265087,-0.24293449521064758,0.003231020221816322,-0.2473629117012024,0.0032491114451352115
7,146,0.7616201617323318,-0.3011623024940491,0.004788090731539889,-0.3081595003604889,0.00505305486853401
8,570,0.7293448236763832,-0.17275795340538025,0.003417295650238116,-0.17697110772132874,0.0034808848500015753
9,538,0.7045157594742468,-0.16501173377037048,0.0032628902763770667,-0.1685734987258911,0.0033673209021410242
10,510,0.7302118128491633,-0.1558556854724884,0.0031482630309756445,-0.15975132584571838,0.003202697941541227
11,482,0.7031959285623302,-0.17277884483337402,0.0033998533435461277,-0.17640066146850586,0.003387430464567437
12,458,0.7514780448575518,-0.20727071166038513,0.0034292186973712974,-0.21196511387825012,0.0034834325366908296
13,426,0.6996857746536161,-0.1733391284942627,0.003280124989535669,-0.1768309473991394,0.0033935724385079098
14,398,0.7286464284790484,-0.16474339365959167,0.003221336321572537,-0.16867172718048096,0.0032320739778623144
15,370,0.7117104635081495,-0.17866665124893188,0.0034732461901557862,-0.18252462148666382,0.0034355731568952953
