compiler,opt_level,branches_cond,csel_count,inlined,target_symbol
gcc-12,-O0,3,0,no,gf_carryless_mul
gcc-12,-O1,3,0,yes,PQCLEAN_HQC128_CLEAN_gf_mul
gcc-12,-O2,3,0,yes,PQCLEAN_HQC128_CLEAN_gf_mul
gcc-12,-O3,0,0,yes,PQCLEAN_HQC128_CLEAN_gf_mul
gcc-12,-Os,3,0,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-14,-O0,3,0,no,gf_carryless_mul
clang-14,-O1,6,2,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-14,-O2,0,12,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-14,-O3,0,12,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-14,-Os,1,1,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-15,-O0,3,3,no,gf_carryless_mul
clang-15,-O1,6,2,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-15,-O2,0,6,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-15,-O3,0,6,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-15,-Os,1,0,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-16,-O0,3,3,no,gf_carryless_mul
clang-16,-O1,6,2,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-16,-O2,0,6,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-16,-O3,0,6,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-16,-Os,1,0,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-19,-O0,3,0,no,gf_carryless_mul
clang-19,-O1,6,2,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-19,-O2,0,6,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-19,-O3,0,6,yes,PQCLEAN_HQC128_CLEAN_gf_mul
clang-19,-Os,1,0,yes,PQCLEAN_HQC128_CLEAN_gf_mul
