compiler,opt_level,branches_cond,csel_count,target_symbol,size_bytes
gcc-12,-O0,6,0,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,264
gcc-12,-O1,12,0,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,172
gcc-12,-O2,12,1,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,173
gcc-12,-O3,26,1,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,461
gcc-12,-Os,7,1,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,144
clang-14,-O0,6,0,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,239
clang-14,-O1,12,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,172
clang-14,-O2,18,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,246
clang-14,-O3,18,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,245
clang-14,-Os,12,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,142
clang-15,-O0,6,6,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,245
clang-15,-O1,12,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,172
clang-15,-O2,21,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,368
clang-15,-O3,20,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,366
clang-15,-Os,12,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,141
clang-16,-O0,6,6,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,246
clang-16,-O1,12,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,172
clang-16,-O2,25,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,452
clang-16,-O3,25,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,451
clang-16,-Os,12,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,141
clang-19,-O0,6,0,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,233
clang-19,-O1,12,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,164
clang-19,-O2,25,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,453
clang-19,-O3,25,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,452
clang-19,-Os,12,3,PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight,141
